# of predictors,i,predictors,fold,jaccard_score
2,2,9|10,0,0.5497076023391813
2,2,9|10,1,0.5092896174863388
2,2,9|10,2,0.4822211264518957
2,2,9|10,3,0.31444623752316064
2,2,9|10,4,0.39060858819894967
2,3,2|7,0,0.5400691262760229
2,3,2|7,1,0.4870982875908984
2,3,2|7,2,0.5268354833572225
2,3,2|7,3,0.5609915198956295
2,3,2|7,4,0.6732589623408481
2,4,7|10,0,0.41
2,4,7|10,1,0.49937976253765726
2,4,7|10,2,0.4660494948638549
2,4,7|10,3,0.34654234654234656
2,4,7|10,4,0.4498450267681037
2,5,5|6,0,0.5374358974358975
2,5,5|6,1,0.38615136876006445
2,5,5|6,2,0.5654600301659125
2,5,5|6,3,0.42869730888306745
2,5,5|6,4,0.5638278388278388
2,6,2|8,0,0.5252007607776839
2,6,2|8,1,0.43288084464555054
2,6,2|8,2,0.5093595862826631
2,6,2|8,3,0.48768622681666157
2,6,2|8,4,0.5926977139326536
3,0,2|3|7,0,0.49905023384998487
3,0,2|3|7,1,0.4989284908639747
3,0,2|3|7,2,0.5359935897435897
3,0,2|3|7,3,0.6020114942528735
3,0,2|3|7,4,0.6621448778138919
3,1,5|7|9,0,0.5202862732983216
3,1,5|7|9,1,0.48983957219251334
3,1,5|7|9,2,0.45580882352941177
3,1,5|7|9,3,0.265224358974359
3,1,5|7|9,4,0.4703665769842241
3,2,2|9|10,0,0.5233277771359728
3,2,2|9|10,1,0.511756168359942
3,2,2|9|10,2,0.533544081489287
3,2,2|9|10,3,0.4724276791584484
3,2,2|9|10,4,0.7653985507246378
3,3,7|9|10,0,0.49942445323056894
3,3,7|9|10,1,0.5059806533827618
3,3,7|9|10,2,0.4902664902664902
3,3,7|9|10,3,0.34294871794871795
3,3,7|9|10,4,0.45759368836291914
3,4,5|6|7,0,0.48574403537638833
3,4,5|6|7,1,0.39172870140612076
3,4,5|6|7,2,0.527124881291548
3,4,5|6|7,3,0.3404514220271044
3,4,5|6|7,4,0.5479166666666667
3,5,1|2|8,0,0.5331323768823769
3,5,1|2|8,1,0.42737185668718936
3,5,1|2|8,2,0.48571428571428577
3,5,1|2|8,3,0.4165870730455608
3,5,1|2|8,4,0.6125503349390335
3,6,3|7|9,0,0.5291744840525328
3,6,3|7|9,1,0.5016532781564427
3,6,3|7|9,2,0.6129772971371431
3,6,3|7|9,3,0.42295437405731523
3,6,3|7|9,4,0.532494374531211
4,0,1|3|4|7,0,0.6192814277920661
4,0,1|3|4|7,1,0.5977698771816419
4,0,1|3|4|7,2,0.5929703051291141
4,0,1|3|4|7,3,0.5333916083916084
4,0,1|3|4|7,4,0.684724476492031
4,1,4|5|7|9,0,0.485168426344897
4,1,4|5|7|9,1,0.4691594120165548
4,1,4|5|7|9,2,0.48961188065665673
4,1,4|5|7|9,3,0.44330196915316716
4,1,4|5|7|9,4,0.6169334492038573
4,2,2|7|9|10,0,0.454203114580473
4,2,2|7|9|10,1,0.47115384615384615
4,2,2|7|9|10,2,0.5473372781065089
4,2,2|7|9|10,3,0.5166666666666667
4,2,2|7|9|10,4,0.6791812838324467
4,3,5|6|7|10,0,0.37639294601319917
4,3,5|6|7|10,1,0.4984175037842301
4,3,5|6|7|10,2,0.5651687905209032
4,3,5|6|7|10,3,0.3908045977011494
4,3,5|6|7|10,4,0.6116883116883116
4,4,1|2|7|8,0,0.509072039072039
4,4,1|2|7|8,1,0.48162672906608217
4,4,1|2|7|8,2,0.5050416616350683
4,4,1|2|7|8,3,0.4429139586768842
4,4,1|2|7|8,4,0.6566685594041217
4,5,3|6|9|10,0,0.6065156592506741
4,5,3|6|9|10,1,0.5743156011426132
4,5,3|6|9|10,2,0.5856978842053469
4,5,3|6|9|10,3,0.4325913966093876
4,5,3|6|9|10,4,0.7357988165680474
4,6,2|7|8|9,0,0.572644376899696
4,6,2|7|8|9,1,0.5572565829761177
4,6,2|7|8|9,2,0.5318181818181817
4,6,2|7|8|9,3,0.5152428216944346
4,6,2|7|8|9,4,0.5627705627705628
5,0,1|3|4|6|7,0,0.6146834073190662
5,0,1|3|4|6|7,1,0.5894363801937614
5,0,1|3|4|6|7,2,0.6066845913393228
5,0,1|3|4|6|7,3,0.5811965811965812
5,0,1|3|4|6|7,4,0.7147001934235977
5,1,1|4|5|7|9,0,0.48804027930059446
5,1,1|4|5|7|9,1,0.552897644361059
5,1,1|4|5|7|9,2,0.5130202244563947
5,1,1|4|5|7|9,3,0.468671679197995
5,1,1|4|5|7|9,4,0.6145637898686679
5,2,2|3|7|9|10,0,0.5816239316239317
5,2,2|3|7|9|10,1,0.543123050935551
5,2,2|3|7|9|10,2,0.6438374659528504
5,2,2|3|7|9|10,3,0.5431694651552806
5,2,2|3|7|9|10,4,0.7149076976663183
5,3,2|4|5|6|7,0,0.5935013262599469
5,3,2|4|5|6|7,1,0.4707480288875638
5,3,2|4|5|6|7,2,0.5588428665351741
5,3,2|4|5|6|7,3,0.47307692307692306
5,3,2|4|5|6|7,4,0.6437037804962333
5,4,1|3|7|8|9,0,0.5187499999999999
5,4,1|3|7|8|9,1,0.5673076923076923
5,4,1|3|7|8|9,2,0.610568704799474
5,4,1|3|7|8|9,3,0.4980158730158729
5,4,1|3|7|8|9,4,0.5813953488372093
5,5,2|3|7|9|10,0,0.5816239316239317
5,5,2|3|7|9|10,1,0.543123050935551
5,5,2|3|7|9|10,2,0.6438374659528504
5,5,2|3|7|9|10,3,0.5431694651552806
5,5,2|3|7|9|10,4,0.7149076976663183
5,6,1|2|6|7|8,0,0.5574525745257453
5,6,1|2|6|7|8,1,0.46479289940828405
5,6,1|2|6|7|8,2,0.5767179907868998
5,6,1|2|6|7|8,3,0.5141547743357697
5,6,1|2|6|7|8,4,0.6629969202449644
6,0,2|3|4|5|6|7,0,0.5182186234817814
6,0,2|3|4|5|6|7,1,0.6674747474747474
6,0,2|3|4|5|6|7,2,0.6879476798505139
6,0,2|3|4|5|6|7,3,0.5136917136917136
6,0,2|3|4|5|6|7,4,0.6456798657055397
6,1,1|3|4|5|7|9,0,0.5512217194570136
6,1,1|3|4|5|7|9,1,0.6517369727047146
6,1,1|3|4|5|7|9,2,0.6432518386006758
6,1,1|3|4|5|7|9,3,0.5633010937358764
6,1,1|3|4|5|7|9,4,0.6246094331200713
6,2,2|3|6|7|9|10,0,0.6615798180314308
6,2,2|3|6|7|9|10,1,0.5950527903469081
6,2,2|3|6|7|9|10,2,0.5864423076923078
6,2,2|3|6|7|9|10,3,0.529059829059829
6,2,2|3|6|7|9|10,4,0.7383680149637597
6,3,0|2|4|5|6|8,0,0.4774251012145749
6,3,0|2|4|5|6|8,1,0.4645403377110694
6,3,0|2|4|5|6|8,2,0.5873573794626425
6,3,0|2|4|5|6|8,3,0.48528890464374336
6,3,0|2|4|5|6|8,4,0.5076588628762542
6,4,1|3|5|6|7|9,0,0.531878031878032
6,4,1|3|5|6|7|9,1,0.48141381371126096
6,4,1|3|5|6|7|9,2,0.5845229845229846
6,4,1|3|5|6|7|9,3,0.5475874125874126
6,4,1|3|5|6|7|9,4,0.6706932052161978
6,5,0|2|5|7|8|9,0,0.46584615384615385
6,5,0|2|5|7|8|9,1,0.5136917136917136
6,5,0|2|5|7|8|9,2,0.5102188868042526
6,5,0|2|5|7|8|9,3,0.4153846153846154
6,5,0|2|5|7|8|9,4,0.6075213675213677
6,6,0|2|6|7|8|10,0,0.45926332718785545
6,6,0|2|6|7|8|10,1,0.4852409129332206
6,6,0|2|6|7|8|10,2,0.5662297749254271
6,6,0|2|6|7|8|10,3,0.5129264214046823
6,6,0|2|6|7|8|10,4,0.7139423076923077
7,0,1|3|4|6|7|9|10,0,0.7143625605164067
7,0,1|3|4|6|7|9|10,1,0.5541208791208792
7,0,1|3|4|6|7|9|10,2,0.6811308349769889
7,0,1|3|4|6|7|9|10,3,0.7030835543766578
7,0,1|3|4|6|7|9|10,4,0.7670377867746289
7,1,1|3|4|5|6|7|9,0,0.6792862310103689
7,1,1|3|4|5|6|7|9,1,0.6800976800976801
7,1,1|3|4|5|6|7|9,2,0.6760710553814001
7,1,1|3|4|5|6|7|9,3,0.6502791563275434
7,1,1|3|4|5|6|7|9,4,0.6790762656147271
7,2,2|3|6|7|8|9|10,0,0.6826923076923077
7,2,2|3|6|7|8|9|10,1,0.5055724417426545
7,2,2|3|6|7|8|9|10,2,0.539799331103679
7,2,2|3|6|7|8|9|10,3,0.5311355311355311
7,2,2|3|6|7|8|9|10,4,0.7162774725274725
7,3,1|2|3|5|6|7|8,0,0.4571587193880698
7,3,1|2|3|5|6|7|8,1,0.5208791208791209
7,3,1|2|3|5|6|7|8,2,0.5708502024291497
7,3,1|2|3|5|6|7|8,3,0.5040649079273867
7,3,1|2|3|5|6|7|8,4,0.5989278752436646
7,4,0|1|2|3|6|7|9,0,0.41737730595196665
7,4,0|1|2|3|6|7|9,1,0.5322011322011322
7,4,0|1|2|3|6|7|9,2,0.576594345825115
7,4,0|1|2|3|6|7|9,3,0.5146094215861657
7,4,0|1|2|3|6|7|9,4,0.5528846153846154
7,5,0|3|6|7|8|9|10,0,0.5201424246594193
7,5,0|3|6|7|8|9|10,1,0.5044261294261294
7,5,0|3|6|7|8|9|10,2,0.5543639053254438
7,5,0|3|6|7|8|9|10,3,0.5046452702702703
7,5,0|3|6|7|8|9|10,4,0.7075040344271114
7,6,0|1|3|4|5|6|10,0,0.30635062611806796
7,6,0|1|3|4|5|6|10,1,0.4693083126550869
7,6,0|1|3|4|5|6|10,2,0.6003787878787878
7,6,0|1|3|4|5|6|10,3,0.5732609323134652
7,6,0|1|3|4|5|6|10,4,0.6770833333333333
8,0,2|3|4|5|6|7|9|10,0,0.7747252747252747
8,0,2|3|4|5|6|7|9|10,1,0.6674937965260546
8,0,2|3|4|5|6|7|9|10,2,0.8547008547008546
8,0,2|3|4|5|6|7|9|10,3,0.5922305119629535
8,0,2|3|4|5|6|7|9|10,4,0.819047619047619
8,1,1|2|3|4|5|6|7|9,0,0.6956521739130435
8,1,1|2|3|4|5|6|7|9,1,0.6953846153846153
8,1,1|2|3|4|5|6|7|9,2,0.8141858141858143
8,1,1|2|3|4|5|6|7|9,3,0.6611585944919278
8,1,1|2|3|4|5|6|7|9,4,0.6953846153846153
8,2,2|3|5|6|7|8|9|10,0,0.7296703296703297
8,2,2|3|5|6|7|8|9|10,1,0.523076923076923
8,2,2|3|5|6|7|8|9|10,2,0.6383322559793149
8,2,2|3|5|6|7|8|9|10,3,0.49198717948717946
8,2,2|3|5|6|7|8|9|10,4,0.716691804927099
8,3,1|2|3|5|6|7|8|10,0,0.5565610859728507
8,3,1|2|3|5|6|7|8|10,1,0.5814479638009049
8,3,1|2|3|5|6|7|8|10,2,0.6322115384615384
8,3,1|2|3|5|6|7|8|10,3,0.5617077501135472
8,3,1|2|3|5|6|7|8|10,4,0.67008547008547
8,4,0|1|2|3|6|7|9|10,0,0.5960895291998971
8,4,0|1|2|3|6|7|9|10,1,0.4399830938292476
8,4,0|1|2|3|6|7|9|10,2,0.5896578338049909
8,4,0|1|2|3|6|7|9|10,3,0.5508935508935509
8,4,0|1|2|3|6|7|9|10,4,0.6264120494889727
8,5,0|1|2|3|7|8|9|10,0,0.5050505050505051
8,5,0|1|2|3|7|8|9|10,1,0.4024276377217553
8,5,0|1|2|3|7|8|9|10,2,0.563524505553491
8,5,0|1|2|3|7|8|9|10,3,0.3892982283786881
8,5,0|1|2|3|7|8|9|10,4,0.6275946275946276
8,6,0|1|2|4|6|8|9|10,0,0.5725232621784345
8,6,0|1|2|4|6|8|9|10,1,0.3976178660049628
8,6,0|1|2|4|6|8|9|10,2,0.625
8,6,0|1|2|4|6|8|9|10,3,0.5364764267990074
8,6,0|1|2|4|6|8|9|10,4,0.7344322344322344
9,0,1|2|3|4|5|6|7|9|10,0,0.8006993006993007
9,0,1|2|3|4|5|6|7|9|10,1,0.7966200466200467
9,0,1|2|3|4|5|6|7|9|10,2,0.926923076923077
9,0,1|2|3|4|5|6|7|9|10,3,0.7928571428571428
9,0,1|2|3|4|5|6|7|9|10,4,0.8038461538461538
9,1,1|2|3|4|5|6|7|8|9,0,0.5472527472527472
9,1,1|2|3|4|5|6|7|8|9,1,0.6230769230769231
9,1,1|2|3|4|5|6|7|8|9,2,0.7264957264957265
9,1,1|2|3|4|5|6|7|8|9,3,0.7348901098901099
9,1,1|2|3|4|5|6|7|8|9,4,0.6263736263736264
9,2,2|3|4|5|6|7|8|9|10,0,0.6834319526627219
9,2,2|3|4|5|6|7|8|9|10,1,0.7564102564102565
9,2,2|3|4|5|6|7|8|9|10,2,0.8531468531468531
9,2,2|3|4|5|6|7|8|9|10,3,0.5961538461538463
9,2,2|3|4|5|6|7|8|9|10,4,0.8074425574425574
9,3,1|2|3|5|6|7|8|9|10,0,0.749641662685141
9,3,1|2|3|5|6|7|8|9|10,1,0.5051282051282051
9,3,1|2|3|5|6|7|8|9|10,2,0.6730769230769231
9,3,1|2|3|5|6|7|8|9|10,3,0.6391608391608391
9,3,1|2|3|5|6|7|8|9|10,4,0.7661538461538462
9,4,0|1|2|3|6|7|8|9|10,0,0.5146584185045724
9,4,0|1|2|3|6|7|8|9|10,1,0.2921195652173913
9,4,0|1|2|3|6|7|8|9|10,2,0.5341880341880342
9,4,0|1|2|3|6|7|8|9|10,3,0.4921558704453441
9,4,0|1|2|3|6|7|8|9|10,4,0.5340659340659341
9,5,0|1|2|5|6|7|8|9|10,0,0.4432234432234432
9,5,0|1|2|5|6|7|8|9|10,1,0.38333333333333336
9,5,0|1|2|5|6|7|8|9|10,2,0.4195283882783883
9,5,0|1|2|5|6|7|8|9|10,3,0.4432234432234432
9,5,0|1|2|5|6|7|8|9|10,4,0.5769230769230769
9,6,0|1|2|4|5|7|8|9|10,0,0.7307692307692307
9,6,0|1|2|4|5|7|8|9|10,1,0.5993589743589743
9,6,0|1|2|4|5|7|8|9|10,2,0.4432234432234432
9,6,0|1|2|4|5|7|8|9|10,3,0.3716871363930187
9,6,0|1|2|4|5|7|8|9|10,4,0.5431235431235432
10,0,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
10,0,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
10,0,1|2|3|4|5|6|7|8|9|10,2,1.0
10,0,1|2|3|4|5|6|7|8|9|10,3,0.8520710059171598
10,0,1|2|3|4|5|6|7|8|9|10,4,0.8520710059171598
10,1,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
10,1,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
10,1,1|2|3|4|5|6|7|8|9|10,2,1.0
10,1,1|2|3|4|5|6|7|8|9|10,3,0.8520710059171598
10,1,1|2|3|4|5|6|7|8|9|10,4,0.8520710059171598
10,2,0|2|3|4|5|6|7|8|9|10,0,0.24786324786324787
10,2,0|2|3|4|5|6|7|8|9|10,1,0.5340659340659341
10,2,0|2|3|4|5|6|7|8|9|10,2,0.8547008547008547
10,2,0|2|3|4|5|6|7|8|9|10,3,0.5431235431235432
10,2,0|2|3|4|5|6|7|8|9|10,4,0.8615384615384615
10,3,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
10,3,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
10,3,1|2|3|4|5|6|7|8|9|10,2,1.0
10,3,1|2|3|4|5|6|7|8|9|10,3,0.8520710059171598
10,3,1|2|3|4|5|6|7|8|9|10,4,0.8520710059171598
10,4,0|1|2|3|4|5|6|7|8|10,0,0.625
10,4,0|1|2|3|4|5|6|7|8|10,1,0.5340659340659341
10,4,0|1|2|3|4|5|6|7|8|10,2,0.6227106227106227
10,4,0|1|2|3|4|5|6|7|8|10,3,0.7264957264957265
10,4,0|1|2|3|4|5|6|7|8|10,4,0.7335164835164835
10,5,0|1|2|4|5|6|7|8|9|10,0,0.6373626373626373
10,5,0|1|2|4|5|6|7|8|9|10,1,0.6265734265734266
10,5,0|1|2|4|5|6|7|8|9|10,2,0.48717948717948717
10,5,0|1|2|4|5|6|7|8|9|10,3,0.5198135198135199
10,5,0|1|2|4|5|6|7|8|9|10,4,0.858974358974359
10,6,0|1|2|3|4|5|6|7|8|10,0,0.625
10,6,0|1|2|3|4|5|6|7|8|10,1,0.5340659340659341
10,6,0|1|2|3|4|5|6|7|8|10,2,0.6227106227106227
10,6,0|1|2|3|4|5|6|7|8|10,3,0.7264957264957265
10,6,0|1|2|3|4|5|6|7|8|10,4,0.7335164835164835
11,0,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
11,0,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
11,0,1|2|3|4|5|6|7|8|9|10,2,1.0
11,0,1|2|3|4|5|6|7|8|9|10,3,0.8520710059171598
11,0,1|2|3|4|5|6|7|8|9|10,4,0.8520710059171598
11,1,0|2|3|4|5|6|7|8|9|10,0,0.24786324786324787
11,1,0|2|3|4|5|6|7|8|9|10,1,0.5340659340659341
11,1,0|2|3|4|5|6|7|8|9|10,2,0.8547008547008547
11,1,0|2|3|4|5|6|7|8|9|10,3,0.5431235431235432
11,1,0|2|3|4|5|6|7|8|9|10,4,0.8615384615384615
11,2,0|1|3|4|5|6|7|8|9|10,0,0.5230769230769231
11,2,0|1|3|4|5|6|7|8|9|10,1,0.7202797202797202
11,2,0|1|3|4|5|6|7|8|9|10,2,0.6265734265734266
11,2,0|1|3|4|5|6|7|8|9|10,3,0.5340659340659341
11,2,0|1|3|4|5|6|7|8|9|10,4,0.7230769230769231
11,3,0|1|2|4|5|6|7|8|9|10,0,0.6373626373626373
11,3,0|1|2|4|5|6|7|8|9|10,1,0.6265734265734266
11,3,0|1|2|4|5|6|7|8|9|10,2,0.48717948717948717
11,3,0|1|2|4|5|6|7|8|9|10,3,0.5198135198135199
11,3,0|1|2|4|5|6|7|8|9|10,4,0.858974358974359
11,4,0|1|2|3|5|6|7|8|9|10,0,0.4519230769230769
11,4,0|1|2|3|5|6|7|8|9|10,1,0.48717948717948717
11,4,0|1|2|3|5|6|7|8|9|10,2,0.5340659340659341
11,4,0|1|2|3|5|6|7|8|9|10,3,0.22797202797202798
11,4,0|1|2|3|5|6|7|8|9|10,4,0.4423076923076923
11,5,0|1|2|3|4|6|7|8|9|10,0,0.5299145299145299
11,5,0|1|2|3|4|6|7|8|9|10,1,0.625
11,5,0|1|2|3|4|6|7|8|9|10,2,0.4423076923076923
11,5,0|1|2|3|4|6|7|8|9|10,3,0.5256410256410257
11,5,0|1|2|3|4|6|7|8|9|10,4,0.5076923076923077
11,6,0|1|2|3|4|5|7|8|9|10,0,0.735042735042735
11,6,0|1|2|3|4|5|7|8|9|10,1,0.24786324786324787
11,6,0|1|2|3|4|5|7|8|9|10,2,0.5198135198135199
11,6,0|1|2|3|4|5|7|8|9|10,3,0.3269230769230769
11,6,0|1|2|3|4|5|7|8|9|10,4,0.3269230769230769
11,7,0|1|2|3|4|5|6|8|9|10,0,0.4423076923076923
11,7,0|1|2|3|4|5|6|8|9|10,1,0.625
11,7,0|1|2|3|4|5|6|8|9|10,2,0.6227106227106227
11,7,0|1|2|3|4|5|6|8|9|10,3,0.6153846153846154
11,7,0|1|2|3|4|5|6|8|9|10,4,0.5076923076923077
11,8,0|1|2|3|4|5|6|7|9|10,0,0.6265734265734266
11,8,0|1|2|3|4|5|6|7|9|10,1,0.5961538461538461
11,8,0|1|2|3|4|5|6|7|9|10,2,1.0
11,8,0|1|2|3|4|5|6|7|9|10,3,0.8615384615384615
11,8,0|1|2|3|4|5|6|7|9|10,4,0.735042735042735
11,9,0|1|2|3|4|5|6|7|8|10,0,0.625
11,9,0|1|2|3|4|5|6|7|8|10,1,0.5340659340659341
11,9,0|1|2|3|4|5|6|7|8|10,2,0.6227106227106227
11,9,0|1|2|3|4|5|6|7|8|10,3,0.7264957264957265
11,9,0|1|2|3|4|5|6|7|8|10,4,0.7335164835164835
11,10,0|1|2|3|4|5|6|7|8|9,0,0.4733727810650888
11,10,0|1|2|3|4|5|6|7|8|9,1,0.5664335664335665
11,10,0|1|2|3|4|5|6|7|8|9,2,0.5589743589743589
11,10,0|1|2|3|4|5|6|7|8|9,3,0.6346153846153846
11,10,0|1|2|3|4|5|6|7|8|9,4,0.591715976331361
