# of predictors,i,predictors,fold,tn|fp|fn|tp
2,14,7|9,4,34|10|35|38
2,15,7|8,0,26|13|28|50
2,15,7|8,1,27|17|28|45
2,15,7|8,2,28|24|23|42
2,15,7|8,3,55|3|49|10
2,15,7|8,4,35|10|27|45
2,16,0|7,0,17|30|18|52
2,16,0|7,1,13|38|9|57
2,16,0|7,2,27|34|10|46
2,16,0|7,3,50|19|39|9
2,16,0|7,4,39|13|27|38
2,17,0|5,0,11|39|5|62
2,17,0|5,1,27|21|22|47
2,17,0|5,2,37|24|12|44
2,17,0|5,3,51|18|38|10
2,17,0|5,4,39|14|23|41
2,18,1|3,0,22|20|22|53
2,18,1|3,1,21|27|15|54
2,18,1|3,2,33|23|15|46
2,18,1|3,3,37|33|15|32
2,18,1|3,4,30|23|11|53
2,19,1|8,0,22|18|22|55
2,19,1|8,1,19|26|20|52
2,19,1|8,2,43|9|29|36
2,19,1|8,3,47|16|26|28
2,19,1|8,4,39|9|18|51
2,20,4|9,0,22|20|18|57
2,20,4|9,1,29|13|27|48
2,20,4|9,2,38|17|17|45
2,20,4|9,3,49|15|33|20
2,20,4|9,4,39|10|15|53
2,21,0|2,0,28|18|26|45
2,21,0|2,1,18|34|13|52
2,21,0|2,2,29|33|11|44
2,21,0|2,3,33|41|11|32
2,21,0|2,4,22|35|2|58
2,22,8|10,0,28|8|41|40
2,22,8|10,1,26|13|24|54
2,22,8|10,2,42|4|24|47
2,22,8|10,3,48|10|44|15
2,22,8|10,4,34|8|26|49
2,23,4|7,0,23|19|26|49
2,23,4|7,1,29|15|31|42
2,23,4|7,2,27|30|17|43
2,23,4|7,3,53|11|27|26
2,23,4|7,4,37|12|16|52
2,24,3|4,0,31|10|22|54
2,24,3|4,1,26|17|26|48
2,24,3|4,2,21|37|15|44
2,24,3|4,3,35|34|16|32
2,24,3|4,4,17|38|5|57
2,25,7|8,0,26|13|28|50
2,25,7|8,1,27|17|28|45
2,25,7|8,2,28|24|23|42
2,25,7|8,3,55|3|49|10
2,25,7|8,4,35|10|27|45
2,26,3|8,0,18|20|22|57
2,26,3|8,1,20|23|22|52
2,26,3|8,2,29|24|20|44
2,26,3|8,3,58|5|38|16
2,26,3|8,4,31|20|11|55
2,27,0|9,0,22|25|16|54
2,27,0|9,1,30|19|22|46
2,27,0|9,2,40|19|16|42
2,27,0|9,3,50|19|39|9
2,27,0|9,4,44|8|28|37
2,28,8|9,0,25|14|21|57
2,28,8|9,1,28|14|20|55
2,28,8|9,2,37|13|28|39
2,28,8|9,3,46|12|45|14
2,28,8|9,4,37|8|32|40
2,29,3|10,0,27|11|38|41
2,29,3|10,1,20|22|19|56
2,29,3|10,2,25|25|31|36
2,29,3|10,3,46|19|20|32
2,29,3|10,4,25|22|25|45
2,30,3|9,0,29|12|19|57
2,30,3|9,1,25|20|19|53
2,30,3|9,2,33|21|19|44
2,30,3|9,3,53|12|40|12
2,30,3|9,4,34|16|12|55
2,31,4|10,0,26|13|19|59
2,31,4|10,1,32|7|37|41
2,31,4|10,2,23|28|21|45
2,31,4|10,3,30|34|17|36
2,31,4|10,4,27|19|24|47
2,32,2|6,0,29|14|24|50
2,32,2|6,1,13|38|10|56
2,32,2|6,2,37|19|15|46
2,32,2|6,3,46|23|21|27
2,32,2|6,4,33|18|9|57
2,33,6|9,0,21|23|15|58
2,33,6|9,1,19|29|16|53
2,33,6|9,2,39|14|18|46
2,33,6|9,3,38|26|27|26
2,33,6|9,4,40|6|26|45
2,34,2|4,0,28|13|24|52
2,34,2|4,1,29|16|28|44
2,34,2|4,2,27|31|9|50
2,34,2|4,3,33|36|17|31
2,34,2|4,4,21|33|7|56
2,35,5|7,0,11|34|7|65
2,35,5|7,1,23|22|19|53
2,35,5|7,2,30|25|17|45
2,35,5|7,3,40|20|46|11
2,35,5|7,4,36|9|28|44
2,36,1|10,0,18|22|23|54
2,36,1|10,1,13|31|8|65
2,36,1|10,2,43|6|29|39
2,36,1|10,3,26|39|14|38
2,36,1|10,4,35|9|34|39
2,37,1|3,0,22|20|22|53
2,37,1|3,1,21|27|15|54
2,37,1|3,2,33|23|15|46
2,37,1|3,3,37|33|15|32
2,37,1|3,4,30|23|11|53
2,38,3|9,0,29|12|19|57
2,38,3|9,1,25|20|19|53
2,38,3|9,2,33|21|19|44
2,38,3|9,3,53|12|40|12
2,38,3|9,4,34|16|12|55
2,39,8|10,0,28|8|41|40
2,39,8|10,1,26|13|24|54
2,39,8|10,2,42|4|24|47
2,39,8|10,3,48|10|44|15
2,39,8|10,4,34|8|26|49
2,40,0|8,0,36|8|36|37
2,40,0|8,1,31|16|32|38
2,40,0|8,2,50|8|31|28
2,40,0|8,3,64|3|43|7
2,40,0|8,4,41|12|22|42
2,41,1|8,0,22|18|22|55
2,41,1|8,1,19|26|20|52
2,41,1|8,2,43|9|29|36
2,41,1|8,3,47|16|26|28
2,41,1|8,4,39|9|18|51
2,42,0|2,0,28|18|26|45
2,42,0|2,1,18|34|13|52
2,42,0|2,2,29|33|11|44
2,42,0|2,3,33|41|11|32
2,42,0|2,4,22|35|2|58
2,43,3|5,0,17|27|12|61
2,43,3|5,1,28|16|31|42
2,43,3|5,2,37|19|13|48
2,43,3|5,3,60|5|43|9
2,43,3|5,4,38|13|18|48
2,44,7|8,0,26|13|28|50
2,44,7|8,1,27|17|28|45
2,44,7|8,2,28|24|23|42
2,44,7|8,3,55|3|49|10
2,44,7|8,4,35|10|27|45
2,45,1|6,0,20|25|13|59
2,45,1|6,1,14|37|14|52
2,45,1|6,2,40|15|14|48
2,45,1|6,3,37|32|15|33
2,45,1|6,4,35|14|18|50
2,46,3|10,0,27|11|38|41
2,46,3|10,1,20|22|19|56
2,46,3|10,2,25|25|31|36
2,46,3|10,3,46|19|20|32
2,46,3|10,4,25|22|25|45
2,47,5|7,0,11|34|7|65
2,47,5|7,1,23|22|19|53
2,47,5|7,2,30|25|17|45
2,47,5|7,3,40|20|46|11
2,47,5|7,4,36|9|28|44
2,48,7|10,0,17|22|29|49
2,48,7|10,1,18|25|14|60
2,48,7|10,2,30|19|24|44
2,48,7|10,3,40|20|36|21
2,48,7|10,4,33|8|37|39
2,49,1|3,0,22|20|22|53
2,49,1|3,1,21|27|15|54
2,49,1|3,2,33|23|15|46
2,49,1|3,3,37|33|15|32
2,49,1|3,4,30|23|11|53
2,50,5|10,0,10|32|16|59
2,50,5|10,1,25|15|22|55
2,50,5|10,2,35|14|25|43
2,50,5|10,3,40|20|36|21
2,50,5|10,4,32|10|33|42
2,51,0|8,0,36|8|36|37
2,51,0|8,1,31|16|32|38
2,51,0|8,2,50|8|31|28
2,51,0|8,3,64|3|43|7
2,51,0|8,4,41|12|22|42
2,52,7|9,0,22|20|18|57
2,52,7|9,1,20|26|17|54
2,52,7|9,2,37|16|21|43
2,52,7|9,3,43|17|45|12
2,52,7|9,4,34|10|35|38
2,53,9|10,0,22|17|18|60
2,53,9|10,1,22|19|20|56
2,53,9|10,2,37|10|31|39
2,53,9|10,3,39|21|39|18
2,53,9|10,4,34|7|44|32
2,54,8|9,0,25|14|21|57
2,54,8|9,1,28|14|20|55
2,54,8|9,2,37|13|28|39
2,54,8|9,3,46|12|45|14
2,54,8|9,4,37|8|32|40
2,55,6|10,0,16|25|18|58
2,55,6|10,1,8|37|3|69
2,55,6|10,2,37|12|29|39
2,55,6|10,3,24|40|23|30
2,55,6|10,4,34|9|39|35
2,56,4|10,0,26|13|19|59
2,56,4|10,1,32|7|37|41
2,56,4|10,2,23|28|21|45
2,56,4|10,3,30|34|17|36
2,56,4|10,4,27|19|24|47
2,57,1|10,0,18|22|23|54
2,57,1|10,1,13|31|8|65
2,57,1|10,2,43|6|29|39
2,57,1|10,3,26|39|14|38
2,57,1|10,4,35|9|34|39
2,58,1|5,0,21|25|8|63
2,58,1|5,1,25|21|18|53
2,58,1|5,2,34|21|14|48
2,58,1|5,3,50|15|22|30
2,58,1|5,4,34|14|19|50
2,59,7|9,0,22|20|18|57
2,59,7|9,1,20|26|17|54
2,59,7|9,2,37|16|21|43
2,59,7|9,3,43|17|45|12
2,59,7|9,4,34|10|35|38
2,60,6|8,0,27|14|27|49
2,60,6|8,1,19|27|12|59
2,60,6|8,2,44|8|26|39
2,60,6|8,3,41|21|37|18
2,60,6|8,4,35|12|16|54
2,61,3|5,0,17|27|12|61
2,61,3|5,1,28|16|31|42
2,61,3|5,2,37|19|13|48
2,61,3|5,3,60|5|43|9
2,61,3|5,4,38|13|18|48
2,62,0|9,0,22|25|16|54
2,62,0|9,1,30|19|22|46
2,62,0|9,2,40|19|16|42
2,62,0|9,3,50|19|39|9
2,62,0|9,4,44|8|28|37
2,63,1|6,0,20|25|13|59
2,63,1|6,1,14|37|14|52
2,63,1|6,2,40|15|14|48
2,63,1|6,3,37|32|15|33
2,63,1|6,4,35|14|18|50
2,64,4|8,0,26|13|31|47
2,64,4|8,1,31|9|35|42
2,64,4|8,2,39|15|18|45
2,64,4|8,3,54|8|42|13
2,64,4|8,4,35|15|12|55
2,65,5|9,0,18|27|10|62
2,65,5|9,1,23|20|16|58
2,65,5|9,2,37|16|23|41
2,65,5|9,3,41|19|35|22
2,65,5|9,4,35|10|31|41
2,66,5|7,0,11|34|7|65
2,66,5|7,1,23|22|19|53
2,66,5|7,2,30|25|17|45
2,66,5|7,3,40|20|46|11
2,66,5|7,4,36|9|28|44
2,67,1|8,0,22|18|22|55
2,67,1|8,1,19|26|20|52
2,67,1|8,2,43|9|29|36
2,67,1|8,3,47|16|26|28
2,67,1|8,4,39|9|18|51
2,68,2|6,0,29|14|24|50
2,68,2|6,1,13|38|10|56
2,68,2|6,2,37|19|15|46
2,68,2|6,3,46|23|21|27
2,68,2|6,4,33|18|9|57
2,69,0|10,0,17|27|25|48
2,69,0|10,1,35|11|48|23
2,69,0|10,2,38|17|34|28
2,69,0|10,3,56|13|33|15
2,69,0|10,4,42|7|57|11
2,70,2|7,0,30|11|25|51
2,70,2|7,1,19|30|9|59
2,70,2|7,2,33|23|13|48
2,70,2|7,3,44|21|12|40
2,70,2|7,4,39|10|13|55
2,71,6|8,0,27|14|27|49
2,71,6|8,1,19|27|12|59
2,71,6|8,2,44|8|26|39
2,71,6|8,3,41|21|37|18
2,71,6|8,4,35|12|16|54
2,72,0|1,0,21|27|15|54
2,72,0|1,1,16|36|9|56
2,72,0|1,2,44|17|10|46
2,72,0|1,3,32|42|12|31
2,72,0|1,4,34|21|11|51
2,73,1|3,0,22|20|22|53
2,73,1|3,1,21|27|15|54
2,73,1|3,2,33|23|15|46
2,73,1|3,3,37|33|15|32
2,73,1|3,4,30|23|11|53
2,74,4|8,0,26|13|31|47
2,74,4|8,1,31|9|35|42
2,74,4|8,2,39|15|18|45
2,74,4|8,3,54|8|42|13
2,74,4|8,4,35|15|12|55
2,75,7|8,0,26|13|28|50
2,75,7|8,1,27|17|28|45
2,75,7|8,2,28|24|23|42
2,75,7|8,3,55|3|49|10
2,75,7|8,4,35|10|27|45
2,76,2|4,0,28|13|24|52
2,76,2|4,1,29|16|28|44
2,76,2|4,2,27|31|9|50
2,76,2|4,3,33|36|17|31
2,76,2|4,4,21|33|7|56
2,77,3|6,0,20|23|13|61
2,77,3|6,1,14|35|11|57
2,77,3|6,2,32|24|21|40
2,77,3|6,3,35|34|24|24
2,77,3|6,4,32|20|8|57
2,78,0|7,0,17|30|18|52
2,78,0|7,1,13|38|9|57
2,78,0|7,2,27|34|10|46
2,78,0|7,3,50|19|39|9
2,78,0|7,4,39|13|27|38
2,79,1|5,0,21|25|8|63
2,79,1|5,1,25|21|18|53
2,79,1|5,2,34|21|14|48
2,79,1|5,3,50|15|22|30
2,79,1|5,4,34|14|19|50
2,80,9|10,0,22|17|18|60
2,80,9|10,1,22|19|20|56
2,80,9|10,2,37|10|31|39
2,80,9|10,3,39|21|39|18
2,80,9|10,4,34|7|44|32
2,81,3|7,0,24|17|20|56
2,81,3|7,1,20|27|17|53
2,81,3|7,2,28|28|14|47
2,81,3|7,3,55|10|34|18
2,81,3|7,4,35|15|17|50
2,82,8|10,0,28|8|41|40
2,82,8|10,1,26|13|24|54
2,82,8|10,2,42|4|24|47
2,82,8|10,3,48|10|44|15
2,82,8|10,4,34|8|26|49
2,83,4|9,0,22|20|18|57
2,83,4|9,1,29|13|27|48
2,83,4|9,2,38|17|17|45
2,83,4|9,3,49|15|33|20
2,83,4|9,4,39|10|15|53
2,84,3|6,0,20|23|13|61
2,84,3|6,1,14|35|11|57
2,84,3|6,2,32|24|21|40
2,84,3|6,3,35|34|24|24
2,84,3|6,4,32|20|8|57
2,85,6|8,0,27|14|27|49
2,85,6|8,1,19|27|12|59
2,85,6|8,2,44|8|26|39
2,85,6|8,3,41|21|37|18
2,85,6|8,4,35|12|16|54
2,86,6|9,0,21|23|15|58
2,86,6|9,1,19|29|16|53
2,86,6|9,2,39|14|18|46
2,86,6|9,3,38|26|27|26
2,86,6|9,4,40|6|26|45
2,87,3|7,0,24|17|20|56
2,87,3|7,1,20|27|17|53
2,87,3|7,2,28|28|14|47
2,87,3|7,3,55|10|34|18
2,87,3|7,4,35|15|17|50
2,88,2|10,0,24|14|30|49
2,88,2|10,1,18|26|19|54
2,88,2|10,2,36|14|30|37
2,88,2|10,3,30|35|12|40
2,88,2|10,4,34|12|25|46
2,89,1|5,0,21|25|8|63
2,89,1|5,1,25|21|18|53
2,89,1|5,2,34|21|14|48
2,89,1|5,3,50|15|22|30
2,89,1|5,4,34|14|19|50
2,90,7|9,0,22|20|18|57
2,90,7|9,1,20|26|17|54
2,90,7|9,2,37|16|21|43
2,90,7|9,3,43|17|45|12
2,90,7|9,4,34|10|35|38
2,91,6|7,0,19|25|9|64
2,91,6|7,1,14|36|10|57
2,91,6|7,2,33|22|11|51
2,91,6|7,3,41|23|29|24
2,91,6|7,4,40|6|27|44
2,92,6|8,0,27|14|27|49
2,92,6|8,1,19|27|12|59
2,92,6|8,2,44|8|26|39
2,92,6|8,3,41|21|37|18
2,92,6|8,4,35|12|16|54
2,93,1|4,0,24|19|20|54
2,93,1|4,1,21|24|21|51
2,93,1|4,2,38|19|14|46
2,93,1|4,3,36|33|18|30
2,93,1|4,4,33|19|13|52
2,94,6|8,0,27|14|27|49
2,94,6|8,1,19|27|12|59
2,94,6|8,2,44|8|26|39
2,94,6|8,3,41|21|37|18
2,94,6|8,4,35|12|16|54
2,95,7|8,0,26|13|28|50
2,95,7|8,1,27|17|28|45
2,95,7|8,2,28|24|23|42
2,95,7|8,3,55|3|49|10
2,95,7|8,4,35|10|27|45
2,96,5|9,0,18|27|10|62
2,96,5|9,1,23|20|16|58
2,96,5|9,2,37|16|23|41
2,96,5|9,3,41|19|35|22
2,96,5|9,4,35|10|31|41
2,97,3|5,0,17|27|12|61
2,97,3|5,1,28|16|31|42
2,97,3|5,2,37|19|13|48
2,97,3|5,3,60|5|43|9
2,97,3|5,4,38|13|18|48
2,98,2|7,0,30|11|25|51
2,98,2|7,1,19|30|9|59
2,98,2|7,2,33|23|13|48
2,98,2|7,3,44|21|12|40
2,98,2|7,4,39|10|13|55
2,99,4|7,0,23|19|26|49
2,99,4|7,1,29|15|31|42
2,99,4|7,2,27|30|17|43
2,99,4|7,3,53|11|27|26
2,99,4|7,4,37|12|16|52
2,100,5|6,0,17|30|3|67
2,100,5|6,1,17|30|22|48
2,100,5|6,2,32|23|9|53
2,100,5|6,3,49|15|31|22
2,100,5|6,4,37|10|23|47
2,101,5|7,0,11|34|7|65
2,101,5|7,1,23|22|19|53
2,101,5|7,2,30|25|17|45
2,101,5|7,3,40|20|46|11
2,101,5|7,4,36|9|28|44
2,102,4|7,0,23|19|26|49
2,102,4|7,1,29|15|31|42
2,102,4|7,2,27|30|17|43
2,102,4|7,3,53|11|27|26
2,102,4|7,4,37|12|16|52
2,103,5|8,0,11|31|9|66
2,103,5|8,1,24|17|21|55
2,103,5|8,2,36|16|24|41
2,103,5|8,3,50|8|45|14
2,103,5|8,4,35|11|22|49
2,104,3|5,0,17|27|12|61
2,104,3|5,1,28|16|31|42
2,104,3|5,2,37|19|13|48
2,104,3|5,3,60|5|43|9
2,104,3|5,4,38|13|18|48
2,105,8|10,0,28|8|41|40
2,105,8|10,1,26|13|24|54
2,105,8|10,2,42|4|24|47
2,105,8|10,3,48|10|44|15
2,105,8|10,4,34|8|26|49
2,106,8|10,0,28|8|41|40
2,106,8|10,1,26|13|24|54
2,106,8|10,2,42|4|24|47
2,106,8|10,3,48|10|44|15
2,106,8|10,4,34|8|26|49
2,107,6|7,0,19|25|9|64
2,107,6|7,1,14|36|10|57
2,107,6|7,2,33|22|11|51
2,107,6|7,3,41|23|29|24
2,107,6|7,4,40|6|27|44
2,108,1|3,0,22|20|22|53
2,108,1|3,1,21|27|15|54
2,108,1|3,2,33|23|15|46
2,108,1|3,3,37|33|15|32
2,108,1|3,4,30|23|11|53
2,109,5|9,0,18|27|10|62
2,109,5|9,1,23|20|16|58
2,109,5|9,2,37|16|23|41
2,109,5|9,3,41|19|35|22
2,109,5|9,4,35|10|31|41
2,110,6|10,0,16|25|18|58
2,110,6|10,1,8|37|3|69
2,110,6|10,2,37|12|29|39
2,110,6|10,3,24|40|23|30
2,110,6|10,4,34|9|39|35
2,111,5|9,0,18|27|10|62
2,111,5|9,1,23|20|16|58
2,111,5|9,2,37|16|23|41
2,111,5|9,3,41|19|35|22
2,111,5|9,4,35|10|31|41
2,112,4|7,0,23|19|26|49
2,112,4|7,1,29|15|31|42
2,112,4|7,2,27|30|17|43
2,112,4|7,3,53|11|27|26
2,112,4|7,4,37|12|16|52
2,113,0|5,0,11|39|5|62
2,113,0|5,1,27|21|22|47
2,113,0|5,2,37|24|12|44
2,113,0|5,3,51|18|38|10
2,113,0|5,4,39|14|23|41
2,114,2|8,0,26|12|26|53
2,114,2|8,1,21|24|23|49
2,114,2|8,2,40|13|25|39
2,114,2|8,3,48|15|25|29
2,114,2|8,4,34|16|14|53
2,115,0|9,0,22|25|16|54
2,115,0|9,1,30|19|22|46
2,115,0|9,2,40|19|16|42
2,115,0|9,3,50|19|39|9
2,115,0|9,4,44|8|28|37
2,116,7|8,0,26|13|28|50
2,116,7|8,1,27|17|28|45
2,116,7|8,2,28|24|23|42
2,116,7|8,3,55|3|49|10
2,116,7|8,4,35|10|27|45
2,117,0|6,0,19|30|8|60
2,117,0|6,1,10|43|7|57
2,117,0|6,2,39|22|15|41
2,117,0|6,3,39|34|23|21
2,117,0|6,4,37|17|17|46
2,118,2|8,0,26|12|26|53
2,118,2|8,1,21|24|23|49
2,118,2|8,2,40|13|25|39
2,118,2|8,3,48|15|25|29
2,118,2|8,4,34|16|14|53
2,119,3|5,0,17|27|12|61
2,119,3|5,1,28|16|31|42
2,119,3|5,2,37|19|13|48
2,119,3|5,3,60|5|43|9
2,119,3|5,4,38|13|18|48
2,120,2|7,0,30|11|25|51
2,120,2|7,1,19|30|9|59
2,120,2|7,2,33|23|13|48
2,120,2|7,3,44|21|12|40
2,120,2|7,4,39|10|13|55
2,121,8|10,0,28|8|41|40
2,121,8|10,1,26|13|24|54
2,121,8|10,2,42|4|24|47
2,121,8|10,3,48|10|44|15
2,121,8|10,4,34|8|26|49
2,122,7|10,0,17|22|29|49
2,122,7|10,1,18|25|14|60
2,122,7|10,2,30|19|24|44
2,122,7|10,3,40|20|36|21
2,122,7|10,4,33|8|37|39
2,123,5|9,0,18|27|10|62
2,123,5|9,1,23|20|16|58
2,123,5|9,2,37|16|23|41
2,123,5|9,3,41|19|35|22
2,123,5|9,4,35|10|31|41
2,124,6|8,0,27|14|27|49
2,124,6|8,1,19|27|12|59
2,124,6|8,2,44|8|26|39
2,124,6|8,3,41|21|37|18
2,124,6|8,4,35|12|16|54
2,125,3|9,0,29|12|19|57
2,125,3|9,1,25|20|19|53
2,125,3|9,2,33|21|19|44
2,125,3|9,3,53|12|40|12
2,125,3|9,4,34|16|12|55
2,126,4|5,0,14|31|10|62
2,126,4|5,1,32|9|39|37
2,126,4|5,2,37|20|15|45
2,126,4|5,3,53|11|33|20
2,126,4|5,4,36|14|15|52
2,127,0|6,0,19|30|8|60
2,127,0|6,1,10|43|7|57
2,127,0|6,2,39|22|15|41
2,127,0|6,3,39|34|23|21
2,127,0|6,4,37|17|17|46
2,128,4|7,0,23|19|26|49
2,128,4|7,1,29|15|31|42
2,128,4|7,2,27|30|17|43
2,128,4|7,3,53|11|27|26
2,128,4|7,4,37|12|16|52
2,129,1|8,0,22|18|22|55
2,129,1|8,1,19|26|20|52
2,129,1|8,2,43|9|29|36
2,129,1|8,3,47|16|26|28
2,129,1|8,4,39|9|18|51
2,130,3|9,0,29|12|19|57
2,130,3|9,1,25|20|19|53
2,130,3|9,2,33|21|19|44
2,130,3|9,3,53|12|40|12
2,130,3|9,4,34|16|12|55
2,131,2|6,0,29|14|24|50
2,131,2|6,1,13|38|10|56
2,131,2|6,2,37|19|15|46
2,131,2|6,3,46|23|21|27
2,131,2|6,4,33|18|9|57
2,132,7|8,0,26|13|28|50
2,132,7|8,1,27|17|28|45
2,132,7|8,2,28|24|23|42
2,132,7|8,3,55|3|49|10
2,132,7|8,4,35|10|27|45
2,133,6|10,0,16|25|18|58
2,133,6|10,1,8|37|3|69
2,133,6|10,2,37|12|29|39
2,133,6|10,3,24|40|23|30
2,133,6|10,4,34|9|39|35
2,134,2|8,0,26|12|26|53
2,134,2|8,1,21|24|23|49
2,134,2|8,2,40|13|25|39
2,134,2|8,3,48|15|25|29
2,134,2|8,4,34|16|14|53
2,135,4|10,0,26|13|19|59
2,135,4|10,1,32|7|37|41
2,135,4|10,2,23|28|21|45
2,135,4|10,3,30|34|17|36
2,135,4|10,4,27|19|24|47
2,136,1|2,0,22|20|24|51
2,136,1|2,1,21|29|11|56
2,136,1|2,2,37|19|14|47
2,136,1|2,3,32|38|17|30
2,136,1|2,4,31|21|12|53
2,137,4|8,0,26|13|31|47
2,137,4|8,1,31|9|35|42
2,137,4|8,2,39|15|18|45
2,137,4|8,3,54|8|42|13
2,137,4|8,4,35|15|12|55
2,138,0|7,0,17|30|18|52
2,138,0|7,1,13|38|9|57
2,138,0|7,2,27|34|10|46
2,138,0|7,3,50|19|39|9
2,138,0|7,4,39|13|27|38
2,139,5|8,0,11|31|9|66
2,139,5|8,1,24|17|21|55
2,139,5|8,2,36|16|24|41
2,139,5|8,3,50|8|45|14
2,139,5|8,4,35|11|22|49
2,140,6|8,0,27|14|27|49
2,140,6|8,1,19|27|12|59
2,140,6|8,2,44|8|26|39
2,140,6|8,3,41|21|37|18
2,140,6|8,4,35|12|16|54
2,141,1|2,0,22|20|24|51
2,141,1|2,1,21|29|11|56
2,141,1|2,2,37|19|14|47
2,141,1|2,3,32|38|17|30
2,141,1|2,4,31|21|12|53
2,142,0|9,0,22|25|16|54
2,142,0|9,1,30|19|22|46
2,142,0|9,2,40|19|16|42
2,142,0|9,3,50|19|39|9
2,142,0|9,4,44|8|28|37
2,143,2|3,0,28|12|31|46
2,143,2|3,1,29|19|22|47
2,143,2|3,2,33|24|22|38
2,143,2|3,3,30|40|13|34
2,143,2|3,4,29|26|13|49
2,144,4|9,0,22|20|18|57
