# of predictors,i,predictors,fold,f1_score_micro
1,25,24,0,0.44879062736205594
1,25,24,1,0.5094339622641509
1,25,24,2,0.5265232974910394
1,26,25,0,0.4778150633855332
1,26,25,1,0.5088888888888888
1,26,25,2,0.4819958847736626
1,27,26,0,0.49372759856630827
1,27,26,1,0.4597953216374269
1,27,26,2,0.48773448773448774
1,28,27,0,0.29856512141280356
1,28,27,1,0.3264354958985832
1,28,27,2,0.34937888198757766
1,29,28,0,0.3938697318007663
1,29,28,1,0.3754598969830758
1,29,28,2,0.44612794612794615
1,30,29,0,0.42961711711711714
1,30,29,1,0.4714765100671141
1,30,29,2,0.4703590785907859
1,31,30,0,0.46886651752423564
1,31,30,1,0.4677177177177177
1,31,30,2,0.4749322493224932
1,32,31,0,0.48812134502923976
1,32,31,1,0.4809843400447427
1,32,31,2,0.49288194444444444
1,33,32,0,0.4046296296296297
1,33,32,1,0.3808724832214765
1,33,32,2,0.39386145404663925
1,34,33,0,0.4343773303504847
1,34,33,1,0.47500000000000003
1,34,33,2,0.48713991769547327
1,35,34,0,0.4778150633855332
1,35,34,1,0.4722222222222222
1,35,34,2,0.46932515337423314
1,36,35,0,0.4269894894894895
1,36,35,1,0.47072072072072074
1,36,35,2,0.4575757575757575
1,37,36,0,0.4809573724668064
1,37,36,1,0.4861111111111111
1,37,36,2,0.45814564564564564
2,0,7|13,0,0.5172211350293542
2,0,7|13,1,0.5192380952380953
2,0,7|13,2,0.5506493506493506
2,1,7|30,0,0.5156102175969726
2,1,7|30,1,0.5246925260170293
2,1,7|30,2,0.5415992812219227
2,2,11|29,0,0.5188878235858102
2,2,11|29,1,0.5025096525096525
2,2,11|29,2,0.5369337979094077
2,3,28|30,0,0.47330049261083745
2,3,28|30,1,0.5218543046357615
2,3,28|30,2,0.5316017316017316
2,4,23|26,0,0.4928571428571429
2,4,23|26,1,0.4655800575263663
2,4,23|26,2,0.4575091575091575
2,5,10|34,0,0.5064237775647171
2,5,10|34,1,0.5010546500479386
2,5,10|34,2,0.5183172655565293
2,6,5|29,0,0.4653883029721956
2,6,5|29,1,0.49854227405247814
2,6,5|29,2,0.5196536796536797
2,7,13|15,0,0.48705656759348037
2,7,13|15,1,0.5038610038610039
2,7,13|15,2,0.4778745644599303
2,8,13|26,0,0.5064102564102564
2,8,13|26,1,0.5192713326941515
2,8,13|26,2,0.5043956043956044
2,9,9|30,0,0.5087198515769944
2,9,9|30,1,0.54
2,9,9|30,2,0.513557779799818
2,10,6|28,0,0.47710622710622713
2,10,6|28,1,0.4814671814671815
2,10,6|28,2,0.5035486806187444
2,11,10|31,0,0.4913533834586466
2,11,10|31,1,0.46903163950143817
2,11,10|31,2,0.4714285714285714
2,12,30|34,0,0.4783783783783784
2,12,30|34,1,0.5135238095238095
2,12,30|34,2,0.5135845749342682
2,13,2|28,0,0.49320197044334974
2,13,2|28,1,0.502588686481304
2,13,2|28,2,0.5158254918733961
2,14,3|22,0,0.4743243243243243
2,14,3|22,1,0.5100185528756958
2,14,3|22,2,0.5056603773584906
2,15,7|13,0,0.5172211350293542
2,15,7|13,1,0.5192380952380953
2,15,7|13,2,0.5506493506493506
2,16,5|34,0,0.5038610038610039
2,16,5|34,1,0.5262857142857142
2,16,5|34,2,0.530236634531113
2,17,9|16,0,0.49443413729128016
2,17,9|16,1,0.5029721955896452
2,17,9|16,2,0.4985533453887884
2,18,1|34,0,0.49217221135029354
2,18,1|34,1,0.4917293233082707
2,18,1|34,2,0.5011393514460999
2,19,19|29,0,0.47282913165266105
2,19,19|29,1,0.47217068645640076
2,19,19|29,2,0.462152133580705
2,20,15|19,0,0.45903500473036896
2,20,15|19,1,0.5087198515769944
2,20,15|19,2,0.48315018315018315
2,21,29|32,0,0.4884169884169884
2,21,29|32,1,0.48533077660594437
2,21,29|32,2,0.47473867595818814
2,22,15|32,0,0.47018216682646213
2,22,15|32,1,0.4611969111969112
2,22,15|32,2,0.4693379790940766
2,23,2|33,0,0.4718146718146718
2,23,2|33,1,0.5087619047619047
2,23,2|33,2,0.5006134969325153
2,24,15|36,0,0.49245785270629994
2,24,15|36,1,0.48895238095238097
2,24,15|36,2,0.48742857142857143
2,25,8|18,0,0.45206766917293234
2,25,8|18,1,0.45107632093933464
2,25,8|18,2,0.4716914986853637
2,26,24|27,0,0.4847985347985348
2,26,24|27,1,0.4785714285714286
2,26,24|27,2,0.4928116469517743
2,27,10|18,0,0.4813623462630085
2,27,10|18,1,0.48474903474903475
2,27,10|18,2,0.5063492063492063
2,28,22|28,0,0.4954990215264188
2,28,22|28,1,0.5092764378478665
2,28,22|28,2,0.5311446317657498
2,29,5|6,0,0.5030027297543221
2,29,5|6,1,0.501174168297456
2,29,5|6,2,0.5056057866184448
2,30,15|36,0,0.49245785270629994
2,30,15|36,1,0.48895238095238097
2,30,15|36,2,0.48742857142857143
2,31,15|35,0,0.462320230105465
2,31,15|35,1,0.499712368168744
2,31,15|35,2,0.491148115687993
3,0,7|20|25,0,0.560994867745756
3,0,7|20|25,1,0.5783668730650154
3,0,7|20|25,2,0.584375
3,1,7|30|34,0,0.545188936501753
3,1,7|30|34,1,0.5543137254901961
3,1,7|30|34,2,0.5511029411764706
3,2,11|28|29,0,0.5274378207658903
3,2,11|28|29,1,0.5346494762288477
3,2,11|28|29,2,0.5646704464918497
3,3,23|26|30,0,0.5363876319758673
3,3,23|26|30,1,0.5462745098039216
3,3,23|26|30,2,0.5212523719165085
3,4,5|10|34,0,0.5309803921568628
3,4,5|10|34,1,0.5388866956178444
3,4,5|10|34,2,0.5600944081336238
3,5,13|15|29,0,0.5443137254901961
3,5,13|15|29,1,0.5558426073131956
3,5,13|15|29,2,0.5573800072176109
3,6,9|13|26,0,0.5534251675353685
3,6,9|13|26,1,0.5710946630307753
3,6,9|13|26,2,0.5626934984520123
3,7,6|28|30,0,0.5426944971537002
3,7,6|28|30,1,0.5542834583497829
3,7,6|28|30,2,0.5249156987635819
3,8,10|31|34,0,0.5488897545773276
3,8,10|31|34,1,0.5369634340222575
3,8,10|31|34,2,0.5517429193899782
3,9,2|28|30,0,0.5253549695740365
3,9,2|28|30,1,0.5413725490196079
3,9,2|28|30,2,0.5660878809355068
3,10,3|13|22,0,0.5187348912167606
3,10,3|13|22,1,0.5231499051233397
3,10,3|13|22,2,0.5330882352941176
3,11,5|7|34,0,0.5533333333333333
3,11,5|7|34,1,0.5449941566030385
3,11,5|7|34,2,0.5619485294117647
3,12,1|9|16,0,0.5377321981424149
3,12,1|9|16,1,0.5274767801857585
3,12,1|9|16,2,0.5391532409142
3,13,19|29|34,0,0.5359052711993888
3,13,19|29|34,1,0.5472485768500949
3,13,19|29|34,2,0.5532120743034056
3,14,15|19|32,0,0.510323334631866
3,14,15|19|32,1,0.4822383498854087
3,14,15|19|32,2,0.526395173453997
3,15,15|29|32,0,0.5284313725490196
3,15,15|29|32,1,0.5425278219395866
3,15,15|29|32,2,0.5395164200649585
3,16,2|15|33,0,0.5195433436532507
3,16,2|15|33,1,0.5164705882352941
3,16,2|15|33,2,0.5094339622641509
3,17,15|18|36,0,0.5527950310559007
3,17,15|18|36,1,0.5420450059218318
3,17,15|18|36,2,0.5486949746786132
3,18,8|18|27,0,0.45361231741018554
3,18,8|18|27,1,0.4792735886300829
3,18,8|18|27,2,0.4687838325514255
3,19,10|18|24,0,0.5294117647058824
3,19,10|18|24,1,0.49381790932933683
3,19,10|18|24,2,0.5235671191553545
3,20,6|22|28,0,0.5316315205327414
3,20,6|22|28,1,0.5211212001579155
3,20,6|22|28,2,0.545751633986928
3,21,5|15|36,0,0.5151683314835368
3,21,5|15|36,1,0.5198039215686274
3,21,5|15|36,2,0.5286377708978328
3,22,15|34|35,0,0.5031583103039874
3,22,15|34|35,1,0.5067114093959731
3,22,15|34|35,2,0.5355467340310357
3,23,2|6|32,0,0.5051566080977846
3,23,2|6|32,1,0.529607843137255
3,23,2|6|32,2,0.5078681153990259
3,24,3|8|22,0,0.49304451510333863
3,24,3|8|22,1,0.539600153787005
3,24,3|8|22,2,0.5189338235294118
3,25,15|29|35,0,0.5217647058823529
3,25,15|29|35,1,0.529610492845787
3,25,15|29|35,2,0.5470949115842656
3,26,6|14|27,0,0.4666666666666667
3,26,6|14|27,1,0.453921568627451
3,26,6|14|27,2,0.47296309828279137
3,27,21|28|31,0,0.552156862745098
3,27,21|28|31,1,0.5443163751987281
3,27,21|28|31,2,0.5692890653193793
3,28,5|12|20,0,0.5432411375146085
3,28,5|12|20,1,0.5502532138683288
3,28,5|12|20,2,0.5425453200147984
3,29,1|22|33,0,0.5086853533359652
3,29,1|22|33,1,0.5066666666666667
3,29,1|22|33,2,0.5413943355119826
3,30,25|30|34,0,0.5296091590998816
3,30,25|30|34,1,0.5554901960784314
3,30,25|30|34,2,0.5626361655773421
3,31,4|16|25,0,0.5307935254638768
3,31,4|16|25,1,0.5476470588235294
3,31,4|16|25,2,0.5635439360929557
4,0,7|18|20|25,0,0.5847665847665847
4,0,7|18|20|25,1,0.6034858387799564
4,0,7|18|20|25,2,0.6227272727272727
4,1,7|23|30|34,0,0.5747541641581376
4,1,7|23|30|34,1,0.5846464646464646
4,1,7|23|30|34,2,0.5814393939393939
4,2,11|28|29|30,0,0.557250355908074
4,2,11|28|29|30,1,0.5706039991754277
4,2,11|28|29|30,2,0.5871441689623508
4,3,10|23|26|34,0,0.5642228739002932
4,3,10|23|26|34,1,0.5523232323232323
4,3,10|23|26|34,2,0.5602175602175602
4,4,5|13|15|29,0,0.5786048403498067
4,4,5|13|15|29,1,0.5948749237339841
4,4,5|13|15|29,2,0.5794757389849414
4,5,9|13|26|30,0,0.6030112445206784
4,5,9|13|26|30,1,0.5920276591417531
4,5,9|13|26|30,2,0.5939790057437117
4,6,6|10|28|31,0,0.5525383707201889
4,6,6|10|28|31,1,0.5494157258863142
4,6,6|10|28|31,2,0.5547028728846911
4,7,2|28|30|34,0,0.555067920585162
4,7,2|28|30|34,1,0.5696969696969697
4,7,2|28|30|34,2,0.5843373493975904
4,8,3|7|13|22,0,0.5517241379310345
4,8,3|7|13|22,1,0.5810361681329423
4,8,3|7|13|22,2,0.5590062111801242
4,9,5|9|16|34,0,0.5927663734115347
4,9,5|9|16|34,1,0.588801926550271
4,9,5|9|16|34,2,0.5845552297165201
4,10,1|19|29|34,0,0.5610948191593352
4,10,1|19|29|34,1,0.5617866981503346
4,10,1|19|29|34,2,0.5476475279106858
4,11,15|19|29|32,0,0.5264127764127764
4,11,15|19|29|32,1,0.5537015726889145
4,11,15|19|29|32,2,0.5550342130987292
4,12,2|15|32|33,0,0.54585326953748
4,12,2|15|32|33,1,0.5238383838383839
4,12,2|15|32|33,2,0.5242995997712979
4,13,8|15|18|36,0,0.5418784114436288
4,13,8|15|18|36,1,0.5564368517388651
4,13,8|15|18|36,2,0.5595023078466788
4,14,10|18|24|27,0,0.5285547785547785
4,14,10|18|24|27,1,0.5145372645372646
4,14,10|18|24|27,2,0.5105192047867207
4,15,5|6|22|28,0,0.558986087287974
4,15,5|6|22|28,1,0.5727069351230425
4,15,5|6|22|28,2,0.5638740344622698
4,16,15|34|35|36,0,0.5460263007432818
4,16,15|34|35|36,1,0.551844980416409
4,16,15|34|35|36,2,0.5724340175953079
4,17,2|6|8|32,0,0.551948051948052
4,17,2|6|8|32,1,0.535959595959596
4,17,2|6|8|32,2,0.5336807566106929
4,18,3|15|22|35,0,0.5335790335790336
4,18,3|15|22|35,1,0.5661881977671451
4,18,3|15|22|35,2,0.5842273668360625
4,19,6|14|27|29,0,0.5176252319109462
4,19,6|14|27|29,1,0.4875653082549634
4,19,6|14|27|29,2,0.5323650708266093
4,20,5|21|28|31,0,0.5868686868686869
4,20,5|21|28|31,1,0.5776003276003276
4,20,5|21|28|31,2,0.6071760550288158
4,21,1|12|20|22,0,0.5561616161616162
4,21,1|12|20|22,1,0.5685805422647527
4,21,1|12|20|22,2,0.5778540118162759
4,22,25|30|33|34,0,0.5470925470925471
4,22,25|30|33|34,1,0.5635550132194428
4,22,25|30|33|34,2,0.5593126385809313
4,23,4|16|20|25,0,0.5466998754669987
4,23,4|16|20|25,1,0.5971250971250971
4,23,4|16|20|25,2,0.5881456070135316
4,24,7|25|30|34,0,0.5835841862331929
4,24,7|25|30|34,1,0.5859263778726866
4,24,7|25|30|34,2,0.600978731413514
4,25,1|14|23|25,0,0.5330859616573902
4,25,1|14|23|25,1,0.57396331738437
4,25,1|14|23|25,2,0.5549943883277216
4,26,7|17|21|32,0,0.5916860916860917
4,26,7|17|21|32,1,0.5731487055990367
4,26,7|17|21|32,2,0.5991735537190083
4,27,5|22|28|33,0,0.5783838383838383
4,27,5|22|28|33,1,0.5656565656565656
4,27,5|22|28|33,2,0.5708639186900056
4,28,0|1|8|26,0,0.5454545454545454
4,28,0|1|8|26,1,0.5317884729649436
4,28,0|1|8|26,2,0.5384164222873901
4,29,9|24|31|34,0,0.5935828877005348
4,29,9|24|31|34,1,0.5979540629222158
4,29,9|24|31|34,2,0.5865944210315072
4,30,1|4|6|12,0,0.5708639186900056
4,30,1|4|6|12,1,0.5541125541125541
4,30,1|4|6|12,2,0.5533769063180828
4,31,16|17|29|32,0,0.5236680530798178
4,31,16|17|29|32,1,0.5534290271132376
4,31,16|17|29|32,2,0.5602175602175602
5,0,7|12|18|25|34,0,0.5858333333333333
5,0,7|12|18|25|34,1,0.6202713815789473
5,0,7|12|18|25|34,2,0.6187106918238994
5,1,7|12|23|30|34,0,0.5952181208053692
5,1,7|12|23|30|34,1,0.59875
5,1,7|12|23|30|34,2,0.6041666666666666
5,2,11|23|28|29|30,0,0.5648384353741497
5,2,11|23|28|29|30,1,0.6024070945945946
5,2,11|23|28|29|30,2,0.625
5,3,5|10|26|29|34,0,0.5893145161290323
5,3,5|10|26|29|34,1,0.5754166666666667
5,3,5|10|26|29|34,2,0.5833333333333334
5,4,9|13|15|26|30,0,0.5994496855345912
5,4,9|13|15|26|30,1,0.5855704697986577
5,4,9|13|15|26|30,2,0.6013071895424836
5,5,6|10|28|31|34,0,0.6254006410256411
5,5,6|10|28|31|34,1,0.6189983443708609
5,5,6|10|28|31|34,2,0.6231737012987013
5,6,2|3|22|28|30,0,0.582347972972973
5,6,2|3|22|28|30,1,0.6005345394736842
5,6,2|3|22|28|30,2,0.6100543478260869
5,7,5|7|13|16|34,0,0.5827586206896552
5,7,5|7|13|16|34,1,0.5927220394736842
5,7,5|7|13|16|34,2,0.622141768292683
5,8,1|9|19|29|34,0,0.5859375
5,8,1|9|19|29|34,1,0.5990901898734177
5,8,1|9|19|29|34,2,0.5973790322580645
5,9,2|15|19|29|32,0,0.5716666666666667
5,9,2|15|19|29|32,1,0.5412660256410257
5,9,2|15|19|29|32,2,0.5689516129032258
5,10,8|15|18|33|36,0,0.569140625
5,10,8|15|18|33|36,1,0.5647764900662252
5,10,8|15|18|33|36,2,0.5839583333333334
5,11,10|18|24|27|28,0,0.5452516233766234
5,11,10|18|24|27|28,1,0.5577713815789473
5,11,10|18|24|27|28,2,0.5366935483870968
5,12,5|6|15|22|36,0,0.5791925465838509
5,12,5|6|15|22|36,1,0.5720016891891891
5,12,5|6|15|22|36,2,0.5511924342105263
5,13,2|15|32|34|35,0,0.5618832236842105
5,13,2|15|32|34|35,1,0.5631208609271523
5,13,2|15|32|34|35,2,0.5741693037974683
5,14,3|6|8|22|32,0,0.5585691823899371
5,14,3|6|8|22|32,1,0.5422916666666666
5,14,3|6|8|22|32,2,0.567639802631579
5,15,6|15|27|29|35,0,0.54875
5,15,6|15|27|29|35,1,0.5639583333333333
5,15,6|15|27|29|35,2,0.563858695652174
5,16,5|14|21|28|31,0,0.605
5,16,5|14|21|28|31,1,0.6083192567567568
5,16,5|14|21|28|31,2,0.6217407975460123
5,17,1|12|20|22|33,0,0.5872916666666667
5,17,1|12|20|22|33,1,0.5778145695364238
5,17,1|12|20|22|33,2,0.615234375
5,18,4|16|25|30|34,0,0.5854166666666667
5,18,4|16|25|30|34,1,0.6079166666666667
5,18,4|16|25|30|34,2,0.6073369565217391
5,19,7|20|25|30|34,0,0.5925082781456954
5,19,7|20|25|30|34,1,0.6166666666666667
5,19,7|20|25|30|34,2,0.6154296875
5,20,1|7|14|23|25,0,0.5790816326530612
5,20,1|7|14|23|25,1,0.6113153594771242
5,20,1|7|14|23|25,2,0.6032608695652174
5,21,17|21|22|28|32,0,0.6009156050955414
5,21,17|21|22|28|32,1,0.5740894039735099
5,21,17|21|22|28|32,2,0.5586192810457516
5,22,1|5|8|26|33,0,0.5447303921568627
5,22,1|5|8|26|33,1,0.5633064516129033
5,22,1|5|8|26|33,2,0.5406454248366013
5,23,0|9|24|31|34,0,0.5969347133757962
5,23,0|9|24|31|34,1,0.618421052631579
5,23,0|9|24|31|34,2,0.6064967105263158
5,24,1|4|6|12|17,0,0.5833984375
5,24,1|4|6|12|17,1,0.5580956375838926
5,24,1|4|6|12|17,2,0.5865542763157895
5,25,10|16|27|29|32,0,0.521875
5,25,10|16|27|29|32,1,0.5386029411764706
5,25,10|16|27|29|32,2,0.5290743670886076
5,26,0|5|15|22|28,0,0.60125
5,26,0|5|15|22|28,1,0.6125827814569537
5,26,0|5|15|22|28,2,0.60546875
5,27,15|18|24|28|34,0,0.5842483108108109
5,27,15|18|24|28|34,1,0.5911290322580646
5,27,15|18|24|28|34,2,0.6103639240506329
5,28,12|24|25|30|35,0,0.5751633986928104
5,28,12|24|25|30|35,1,0.5849673202614379
5,28,12|24|25|30|35,2,0.603225806451613
5,29,4|8|14|22|28,0,0.5669948630136986
5,29,4|8|14|22|28,1,0.5746299342105263
5,29,4|8|14|22|28,2,0.6021855828220859
5,30,4|19|25|31|34,0,0.5806781045751634
5,30,4|19|25|31|34,1,0.5806640625
5,30,4|19|25|31|34,2,0.5711570945945946
5,31,20|27|28|33|35,0,0.5531655844155844
5,31,20|27|28|33|35,1,0.565625
5,31,20|27|28|33|35,2,0.5955414012738853
6,0,7|8|12|18|25|34,0,0.6081720430107527
6,0,7|8|12|18|25|34,1,0.629881154499151
6,0,7|8|12|18|25|34,2,0.6380604585108541
6,1,7|12|14|23|30|34,0,0.6191397849462366
6,1,7|12|14|23|30|34,1,0.6278415241394241
6,1,7|12|14|23|30|34,2,0.6250497809637594
6,2,11|23|26|28|29|30,0,0.5978215333054042
6,2,11|23|26|28|29|30,1,0.615874363327674
6,2,11|23|26|28|29|30,2,0.5983350676378772
6,3,5|10|13|15|29|34,0,0.5942844771595583
6,3,5|10|13|15|29|34,1,0.6129032258064516
6,3,5|10|13|15|29|34,2,0.632891351672274
6,4,6|9|13|26|28|30,0,0.5964698721850273
6,4,6|9|13|26|28|30,1,0.6090831918505942
6,4,6|9|13|26|28|30,2,0.6144086021505376
6,5,2|10|28|30|31|34,0,0.6302890657729368
6,5,2|10|28|30|31|34,1,0.6133421110379635
6,5,2|10|28|30|31|34,2,0.6358870967741935
6,6,3|5|7|13|16|22,0,0.6025187803800265
6,6,3|5|7|13|16|22,1,0.6279849183074989
6,6,3|5|7|13|16|22,2,0.6519735523943098
6,7,1|9|15|19|29|34,0,0.5966673787652211
6,7,1|9|15|19|29|34,1,0.6047892341183455
6,7,1|9|15|19|29|34,2,0.5995172262453369
6,8,2|15|19|29|32|35,0,0.5849177526169622
6,8,2|15|19|29|32|35,1,0.5765358537086501
6,8,2|15|19|29|32|35,2,0.5743200506008855
6,9,8|15|18|33|35|36,0,0.5879032258064516
6,9,8|15|18|33|35|36,1,0.5821405682546464
6,9,8|15|18|33|35|36,2,0.604516129032258
6,10,10|18|22|24|27|28,0,0.5895585738539898
6,10,10|18|22|24|27|28,1,0.5842529711375212
6,10,10|18|22|24|27|28,2,0.5878364495582494
6,11,2|5|6|15|32|34,0,0.6080854629241726
6,11,2|5|6|15|32|34,1,0.5904721213415937
6,11,2|5|6|15|32|34,2,0.6106286186931348
6,12,3|6|8|15|22|32,0,0.5961290322580645
6,12,3|6|8|15|22|32,1,0.5763576970191915
6,12,3|6|8|15|22|32,2,0.5793801391524351
6,13,6|14|27|29|31|35,0,0.5913978494623656
6,13,6|14|27|29|31|35,1,0.5970989391643213
6,13,6|14|27|29|31|35,2,0.5895719212822074
6,14,5|12|20|21|22|28,0,0.6241610738255033
6,14,5|12|20|21|22|28,1,0.6182439649647511
6,14,5|12|20|21|22|28,2,0.6285313564415949
6,15,1|16|25|30|33|35,0,0.5423655913978495
6,15,1|16|25|30|33|35,1,0.5923947874385815
6,15,1|16|25|30|33|35,2,0.5834677419354839
6,16,4|7|20|23|25|30,0,0.6305579773321709
6,16,4|7|20|23|25|30,1,0.6385823429541596
6,16,4|7|20|23|25|30,2,0.6545782408335002
6,17,1|7|14|17|21|25,0,0.6168070680090405
6,17,1|7|14|17|21|25,1,0.6216620380260628
6,17,1|7|14|17|21|25,2,0.618595825426945
6,18,5|8|22|26|28|33,0,0.5975121231288214
6,18,5|8|22|26|28|33,1,0.6118626430801248
6,18,5|8|22|26|28|33,2,0.6021505376344086
6,19,0|1|9|24|31|36,0,0.5559772296015181
6,19,0|1|9|24|31|36,1,0.5622119815668203
6,19,0|1|9|24|31|36,2,0.5584415584415584
6,20,4|6|12|17|29|32,0,0.6070759625390219
6,20,4|6|12|17|29|32,1,0.5998718222602009
6,20,4|6|12|17|29|32,2,0.5964620187304891
6,21,0|10|15|16|27|28,0,0.5520675470881143
6,21,0|10|15|16|27|28,1,0.5679500520291363
6,21,0|10|15|16|27|28,2,0.5584549003492911
6,22,5|15|18|22|24|28,0,0.6168001731976618
6,22,5|15|18|22|24|28,1,0.603164942178941
6,22,5|15|18|22|24|28,2,0.606999789162977
6,23,8|12|14|24|25|30,0,0.6172331673522408
6,23,8|12|14|24|25|30,1,0.6435175672899116
6,23,8|12|14|24|25|30,2,0.6403746097814776
6,24,4|22|25|28|31|33,0,0.5836559139784946
6,24,4|22|25|28|31|33,1,0.5955334987593052
6,24,4|22|25|28|31|33,2,0.5989594172736733
6,25,4|19|20|27|28|33,0,0.5746635334330271
6,25,4|19|20|27|28|33,1,0.5944410630959627
6,25,4|19|20|27|28|33,2,0.5834223456526383
6,26,9|13|17|23|28|33,0,0.6309841791658105
6,26,9|13|17|23|28|33,1,0.6170166702749513
6,26,9|13|17|23|28|33,2,0.62684703433923
6,27,18|20|23|26|29|30,0,0.618349392542941
6,27,18|20|23|26|29|30,1,0.6216216216216216
6,27,18|20|23|26|29|30,2,0.6147291539866099
6,28,13|20|23|30|32|35,0,0.5938117182356814
6,28,13|20|23|30|32|35,1,0.6046264855687606
6,28,13|20|23|30|32|35,2,0.6138988450816408
6,29,5|15|20|24|26|36,0,0.5822994210090985
6,29,5|15|20|24|26|36,1,0.5936724565756824
6,29,5|15|20|24|26|36,2,0.5741502489716389
6,30,1|8|17|21|23|28,0,0.6133141565646189
6,30,1|8|17|21|23|28,1,0.6053763440860215
6,30,1|8|17|21|23|28,2,0.6392961876832844
6,31,0|3|24|29|33|36,0,0.5891341256366723
6,31,0|3|24|29|33|36,1,0.598991935483871
6,31,0|3|24|29|33|36,2,0.5611604243342715
7,0,7|8|12|18|21|25|34,0,0.650438596491228
7,0,7|8|12|18|21|25|34,1,0.6566666666666666
7,0,7|8|12|18|21|25|34,2,0.6716981132075471
7,1,5|7|12|14|23|30|34,0,0.6491111111111111
7,1,5|7|12|14|23|30|34,1,0.662061403508772
7,1,5|7|12|14|23|30|34,2,0.6477987421383647
7,2,11|17|23|26|28|29|30,0,0.6238683127572017
7,2,11|17|23|26|28|29|30,1,0.6027027027027027
7,2,11|17|23|26|28|29|30,2,0.617439293598234
7,3,5|10|13|15|21|26|29,0,0.6182590233545647
7,3,5|10|13|15|21|26|29,1,0.6185682326621924
7,3,5|10|13|15|21|26|29,2,0.6129032258064516
7,4,6|9|10|13|15|28|30,0,0.6541922290388548
7,4,6|9|10|13|15|28|30,1,0.6243243243243243
7,4,6|9|10|13|15|28|30,2,0.6144444444444445
7,5,2|3|22|28|29|30|34,0,0.6573951434878588
7,5,2|3|22|28|29|30|34,1,0.6570469798657718
7,5,2|3|22|28|29|30|34,2,0.6600414078674949
7,6,0|5|7|9|13|16|34,0,0.6543524416135881
7,6,0|5|7|9|13|16|34,1,0.6449561403508772
7,6,0|5|7|9|13|16|34,2,0.6460526315789473
7,7,7|15|19|29|34|35|36,0,0.6133771929824562
7,7,7|15|19|29|34|35|36,1,0.6225165562913907
7,7,7|15|19|29|34|35|36,2,0.6206751054852321
7,8,2|15|18|29|32|33|34,0,0.6207505518763797
7,8,2|15|18|29|32|33|34,1,0.6033333333333334
7,8,2|15|18|29|32|33|34,2,0.6254166666666666
7,9,8|10|18|22|24|27|36,0,0.5876068376068376
7,9,8|10|18|22|24|27|36,1,0.5687074829931973
7,9,8|10|18|22|24|27|36,2,0.5786919831223629
7,10,5|6|15|17|22|28|32,0,0.6241830065359477
7,10,5|6|15|17|22|28|32,1,0.6109677419354839
7,10,5|6|15|17|22|28|32,2,0.6091503267973856
7,11,1|2|6|8|32|34|35,0,0.6208602150537634
7,11,1|2|6|8|32|34|35,1,0.6188311688311688
7,11,1|2|6|8|32|34|35,2,0.6214912280701754
7,12,6|14|15|22|27|29|35,0,0.6164444444444445
