num_predictors,response,f1 score
16,Cellobiose,0.646551724
16,Melibiose,0.814655172
16,Lactose,0.715517241
16,Inulin,0.831896552
16,Starch,0.724137931
16,Erythritol,0.780172414
16,L-Arabinitol,0.780172414
16,D-Mannitol,0.672413793
16,Galactitol,0.788793103
16,myo-Inositol,0.849137931
16,D-Glucoronate,0.875
16,D-Galacturonate,0.823275862
16,Methanol,0.961206897
16,Ethanol,0.676724138
16,"Propane 1,2 diol",0.629310345
16,"Butane 2,3 diol",0.672413793
15,D-Glucosamine,0.650862069
15,D-Xylose,0.693965517
15,D-Arabinose,0.625
15,L-Rhamnose,0.693965517
15,Sucrose,0.887931034
15,"a,a-Trehalose",0.659482759
15,Cellobiose,0.63362069
15,Melibiose,0.771551724
15,Lactose,0.762931034
15,Inulin,0.862068966
15,Starch,0.676724138
15,Erythritol,0.793103448
15,L-Arabinitol,0.814655172
15,D-Mannitol,0.724137931
15,Galactitol,0.797413793
15,myo-Inositol,0.86637931
15,D-Glucoronate,0.806034483
15,D-Galacturonate,0.814655172
15,Succinate,0.676724138
15,Methanol,0.935344828
15,"Propane 1,2 diol",0.625
15,"Butane 2,3 diol",0.672413793
14,D-Glucosamine,0.655172414
14,D-Xylose,0.672413793
14,D-Arabinose,0.655172414
14,L-Rhamnose,0.685344828
14,Sucrose,0.862068966
14,"a,a-Trehalose",0.659482759
14,Cellobiose,0.629310345
14,Melibiose,0.806034483
14,Lactose,0.74137931
14,Inulin,0.879310345
14,Starch,0.715517241
14,Erythritol,0.732758621
14,L-Arabinitol,0.810344828
14,D-Mannitol,0.715517241
14,Galactitol,0.75
14,myo-Inositol,0.862068966
14,D-Glucoronate,0.762931034
14,D-Galacturonate,0.814655172
14,Succinate,0.702586207
14,Methanol,0.926724138
14,Ethanol,0.689655172
14,"Propane 1,2 diol",0.599137931
14,"Butane 2,3 diol",0.663793103
13,D-Glucosamine,0.61637931
13,D-Xylose,0.689655172
13,D-Arabinose,0.672413793
13,L-Rhamnose,0.685344828
13,Sucrose,0.784482759
13,"a,a-Trehalose",0.620689655
13,Cellobiose,0.61637931
13,Melibiose,0.745689655
13,Lactose,0.74137931
13,Raffinose,0.685344828
13,Inulin,0.879310345
13,Starch,0.706896552
13,Erythritol,0.801724138
13,L-Arabinitol,0.788793103
13,D-Mannitol,0.711206897
13,Galactitol,0.728448276
13,myo-Inositol,0.853448276
13,D-Glucoronate,0.784482759
13,D-Galacturonate,0.818965517
13,Succinate,0.689655172
13,Methanol,0.943965517
13,Ethanol,0.676724138
13,"Propane 1,2 diol",0.655172414
13,"Butane 2,3 diol",0.672413793
12,D-Glucosamine,0.646551724
12,D-Xylose,0.698275862
12,D-Arabinose,0.637931034
12,L-Rhamnose,0.659482759
12,Sucrose,0.788793103
12,"a,a-Trehalose",0.63362069
12,Cellobiose,0.590517241
12,Melibiose,0.780172414
12,Lactose,0.689655172
12,Raffinose,0.642241379
12,Inulin,0.827586207
12,Starch,0.668103448
12,Erythritol,0.784482759
12,L-Arabinitol,0.801724138
12,D-Mannitol,0.676724138
12,Galactitol,0.75
12,myo-Inositol,0.844827586
12,2-Keto-D-gluconate,0.629310345
12,D-Glucoronate,0.732758621
12,D-Galacturonate,0.810344828
12,Succinate,0.689655172
12,Methanol,0.952586207
12,Ethanol,0.642241379
12,"Propane 1,2 diol",0.594827586
12,"Butane 2,3 diol",0.607758621
11,D-Galactose,0.556034483
11,D-Glucosamine,0.629310345
11,D-Xylose,0.702586207
11,D-Arabinose,0.629310345
11,L-Rhamnose,0.676724138
11,Sucrose,0.771551724
11,"a,a-Trehalose",0.672413793
11,Cellobiose,0.568965517
11,Melibiose,0.775862069
11,Lactose,0.732758621
11,Raffinose,0.642241379
11,Inulin,0.86637931
11,Starch,0.693965517
11,Erythritol,0.771551724
11,L-Arabinitol,0.806034483
11,D-Mannitol,0.706896552
11,Galactitol,0.754310345
11,myo-Inositol,0.844827586
11,D-Glucoronate,0.706896552
11,D-Galacturonate,0.823275862
11,Succinate,0.676724138
11,Citrate,0.560344828
11,Methanol,0.939655172
11,Ethanol,0.612068966
11,"Propane 1,2 diol",0.629310345
11,"Butane 2,3 diol",0.650862069
10,D-Galactose,0.607758621
10,D-Glucosamine,0.625
10,D-Xylose,0.676724138
10,D-Arabinose,0.650862069
10,L-Rhamnose,0.681034483
10,Sucrose,0.818965517
10,"a,a-Trehalose",0.672413793
10,Cellobiose,0.560344828
10,Melibiose,0.728448276
10,Lactose,0.676724138
10,Raffinose,0.625
10,Inulin,0.806034483
10,Starch,0.63362069
10,Erythritol,0.754310345
10,L-Arabinitol,0.801724138
10,D-Mannitol,0.706896552
10,Galactitol,0.724137931
10,myo-Inositol,0.840517241
10,2-Keto-D-gluconate,0.655172414
10,D-Glucoronate,0.754310345
10,D-Galacturonate,0.818965517
10,Succinate,0.625
10,Citrate,0.581896552
10,Methanol,0.922413793
10,Ethanol,0.629310345
10,"Propane 1,2 diol",0.646551724
10,"Butane 2,3 diol",0.659482759
9,D-Galactose,0.607758621
9,D-Glucosamine,0.620689655
9,D-Xylose,0.672413793
9,D-Arabinose,0.629310345
9,L-Rhamnose,0.676724138
9,Sucrose,0.801724138
9,"a,a-Trehalose",0.668103448
9,Cellobiose,0.586206897
9,Melibiose,0.715517241
9,Lactose,0.668103448
9,Raffinose,0.637931034
9,Inulin,0.818965517
9,Starch,0.655172414
9,Erythritol,0.754310345
9,Ribitol,0.612068966
9,L-Arabinitol,0.801724138
9,D-Mannitol,0.693965517
9,Galactitol,0.732758621
9,myo-Inositol,0.831896552
9,2-Keto-D-gluconate,0.63362069
9,D-Glucoronate,0.698275862
9,D-Galacturonate,0.814655172
9,Succinate,0.620689655
9,Citrate,0.599137931
9,Methanol,0.926724138
9,Ethanol,0.594827586
9,"Propane 1,2 diol",0.603448276
9,"Butane 2,3 diol",0.659482759
8,D-Galactose,0.581896552
8,D-Glucosamine,0.612068966
8,D-Xylose,0.672413793
8,D-Arabinose,0.637931034
8,L-Rhamnose,0.672413793
8,Sucrose,0.797413793
8,"a,a-Trehalose",0.672413793
8,Cellobiose,0.560344828
8,Melibiose,0.719827586
8,Lactose,0.650862069
8,Raffinose,0.620689655
8,Inulin,0.814655172
8,Starch,0.676724138
8,Erythritol,0.732758621
8,Ribitol,0.620689655
8,L-Arabinitol,0.806034483
8,D-Mannitol,0.672413793
8,Galactitol,0.724137931
8,myo-Inositol,0.840517241
8,2-Keto-D-gluconate,0.625
8,D-Glucoronate,0.737068966
8,D-Galacturonate,0.801724138
8,DL-Lactate,0.396551724
8,Succinate,0.564655172
8,Citrate,0.594827586
8,Methanol,0.931034483
8,Ethanol,0.607758621
8,"Propane 1,2 diol",0.568965517
8,"Butane 2,3 diol",0.663793103
7,D-Galactose,0.581896552
7,L-Sorbose,0.568965517
7,D-Glucosamine,0.586206897
7,D-Xylose,0.663793103
7,D-Arabinose,0.637931034
7,L-Rhamnose,0.655172414
7,Sucrose,0.780172414
7,"a,a-Trehalose",0.650862069
7,Cellobiose,0.573275862
7,Melibiose,0.724137931
7,Lactose,0.650862069
7,Raffinose,0.629310345
7,Inulin,0.814655172
7,Starch,0.659482759
7,Erythritol,0.737068966
7,Ribitol,0.620689655
7,L-Arabinitol,0.806034483
7,D-Mannitol,0.646551724
7,Galactitol,0.711206897
7,myo-Inositol,0.818965517
7,2-Keto-D-gluconate,0.568965517
7,D-Glucoronate,0.724137931
7,D-Galacturonate,0.810344828
7,DL-Lactate,0.340517241
7,Succinate,0.568965517
7,Citrate,0.586206897
7,Methanol,0.931034483
7,Ethanol,0.560344828
7,"Propane 1,2 diol",0.573275862
7,"Butane 2,3 diol",0.573275862
6,D-Galactose,0.581896552
6,L-Sorbose,0.560344828
6,D-Glucosamine,0.564655172
6,D-Xylose,0.659482759
6,L-Arabinose,0.63362069
6,D-Arabinose,0.607758621
6,L-Rhamnose,0.560344828
6,Sucrose,0.780172414
6,"a,a-Trehalose",0.663793103
6,Cellobiose,0.577586207
6,Melibiose,0.706896552
6,Lactose,0.607758621
6,Raffinose,0.577586207
6,Inulin,0.814655172
6,Starch,0.586206897
6,Erythritol,0.689655172
6,Ribitol,0.63362069
6,L-Arabinitol,0.745689655
6,D-Mannitol,0.620689655
6,Galactitol,0.681034483
6,myo-Inositol,0.737068966
6,2-Keto-D-gluconate,0.573275862
6,D-Glucoronate,0.637931034
6,D-Galacturonate,0.784482759
6,DL-Lactate,0.452586207
6,Succinate,0.512931034
6,Citrate,0.620689655
6,Methanol,0.926724138
6,Ethanol,0.543103448
6,"Propane 1,2 diol",0.573275862
6,"Butane 2,3 diol",0.538793103
5,D-Galactose,0.556034483
5,L-Sorbose,0.534482759
5,D-Glucosamine,0.551724138
5,D-Xylose,0.629310345
5,L-Arabinose,0.599137931
5,D-Arabinose,0.607758621
5,L-Rhamnose,0.620689655
5,Sucrose,0.780172414
5,"a,a-Trehalose",0.637931034
5,Cellobiose,0.577586207
5,Melibiose,0.672413793
5,Lactose,0.581896552
5,Raffinose,0.547413793
5,Inulin,0.814655172
5,Starch,0.556034483
5,Erythritol,0.693965517
5,Ribitol,0.646551724
5,L-Arabinitol,0.724137931
5,D-Mannitol,0.61637931
5,Galactitol,0.689655172
5,myo-Inositol,0.775862069
5,"D-Glucono-1,5-lactone",0.586206897
5,2-Keto-D-gluconate,0.560344828
5,D-Glucoronate,0.612068966
5,D-Galacturonate,0.762931034
5,DL-Lactate,0.461206897
5,Succinate,0.482758621
5,Citrate,0.560344828
5,Methanol,0.918103448
5,Ethanol,0.577586207
5,"Propane 1,2 diol",0.551724138
5,"Butane 2,3 diol",0.560344828
4,D-Galactose,0.512931034
4,L-Sorbose,0.487068966
4,D-Glucosamine,0.512931034
4,D-Ribose,0.620689655
4,D-Xylose,0.607758621
4,L-Arabinose,0.693965517
4,D-Arabinose,0.620689655
4,L-Rhamnose,0.577586207
4,Sucrose,0.810344828
4,"a,a-Trehalose",0.650862069
4,Cellobiose,0.534482759
4,Melibiose,0.715517241
4,Lactose,0.560344828
4,Raffinose,0.655172414
4,Inulin,0.719827586
4,Starch,0.599137931
4,Erythritol,0.732758621
4,Ribitol,0.594827586
4,Xylitol,0.625
4,D-Mannitol,0.564655172
4,Galactitol,0.75862069
4,myo-Inositol,0.775862069
4,"D-Glucono-1,5-lactone",0.525862069
4,2-Keto-D-gluconate,0.495689655
4,D-Glucoronate,0.590517241
4,D-Galacturonate,0.788793103
4,DL-Lactate,0.370689655
4,Succinate,0.426724138
4,Citrate,0.538793103
4,Methanol,0.88362069
4,Ethanol,0.465517241
4,"Propane 1,2 diol",0.530172414
4,"Butane 2,3 diol",0.5
3,D-Galactose,0.495689655
3,L-Sorbose,0.495689655
3,D-Glucosamine,0.556034483
3,D-Ribose,0.642241379
3,D-Xylose,0.607758621
3,L-Arabinose,0.685344828
3,D-Arabinose,0.620689655
3,L-Rhamnose,0.568965517
3,Sucrose,0.814655172
3,"a,a-Trehalose",0.642241379
3,Cellobiose,0.439655172
3,Melibiose,0.620689655
3,Lactose,0.456896552
3,Raffinose,0.538793103
3,Inulin,0.672413793
3,Starch,0.573275862
3,Glycerol,0.413793103
3,Erythritol,0.715517241
3,Ribitol,0.590517241
3,Xylitol,0.655172414
3,D-Mannitol,0.577586207
3,Galactitol,0.607758621
3,myo-Inositol,0.556034483
3,"D-Glucono-1,5-lactone",0.530172414
3,2-Keto-D-gluconate,0.573275862
3,D-Glucoronate,0.560344828
3,D-Galacturonate,0.681034483
3,DL-Lactate,0.405172414
3,Succinate,0.38362069
3,Citrate,0.551724138
3,Methanol,0.892241379
3,Ethanol,0.353448276
3,"Propane 1,2 diol",0.487068966
3,"Butane 2,3 diol",0.405172414
2,D-Galactose,0.551724138
2,L-Sorbose,0.560344828
2,D-Glucosamine,0.478448276
2,D-Ribose,0.49137931
2,L-Arabinose,0.577586207
2,D-Arabinose,0.573275862
2,L-Rhamnose,0.456896552
2,Sucrose,0.594827586
2,Maltose,0.573275862
2,"a,a-Trehalose",0.538793103
2,Cellobiose,0.431034483
2,Melibiose,0.525862069
2,Lactose,0.556034483
2,Raffinose,0.538793103
2,Inulin,0.637931034
2,Starch,0.331896552
2,Glycerol,0.469827586
2,Erythritol,0.482758621
2,Ribitol,0.590517241
2,Xylitol,0.681034483
2,L-Arabinitol,0.543103448
2,D-Mannitol,0.564655172
2,Galactitol,0.650862069
2,myo-Inositol,0.620689655
2,"D-Glucono-1,5-lactone",0.525862069
2,2-Keto-D-gluconate,0.612068966
2,D-Glucoronate,0.568965517
2,D-Galacturonate,0.543103448
2,DL-Lactate,0.36637931
2,Succinate,0.530172414
2,Citrate,0.586206897
2,Methanol,0.672413793
2,Ethanol,0.469827586
2,"Propane 1,2 diol",0.461206897
2,"Butane 2,3 diol",0.405172414
1,D-Galactose,0.482758621
1,L-Sorbose,0.461206897
1,D-Glucosamine,0.331896552
1,D-Ribose,0.465517241
1,L-Arabinose,0.564655172
1,D-Arabinose,0.422413793
1,L-Rhamnose,0.560344828
1,Sucrose,0.543103448
1,Maltose,0.547413793
1,"a,a-Trehalose",0.594827586
1,Cellobiose,0.61637931
1,Melibiose,0.314655172
1,Lactose,0.336206897
1,Raffinose,0.38362069
1,Inulin,0.25862069
1,Starch,0.482758621
1,Glycerol,0.534482759
1,Erythritol,0.422413793
1,Ribitol,0.577586207
1,Xylitol,0.689655172
1,L-Arabinitol,0.573275862
1,D-Mannitol,0.607758621
1,Galactitol,0.495689655
1,myo-Inositol,0.452586207
1,"D-Glucono-1,5-lactone",0.474137931
1,2-Keto-D-gluconate,0.456896552
1,D-Gluconate,0.413793103
1,D-Glucoronate,0.387931034
1,D-Galacturonate,0.331896552
1,DL-Lactate,0.340517241
1,Succinate,0.603448276
1,Citrate,0.581896552
1,Methanol,0.495689655
1,Ethanol,0.551724138
1,"Propane 1,2 diol",0.400862069
1,"Butane 2,3 diol",0.331896552
